dept,title,race,gender,experience_level,experience,salary
Public Works & Engineering-PWE,SENIOR STAFF ANALYST,Hispanic,Male,Veteran,16.4,90293.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,5.6,48190.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,12.7,62540.0
Health & Human Services,PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Black,Female,Veteran,22.9,57433.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,8.5,51194.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,8.3,55461.0
Public Works & Engineering-PWE,UTILITY WORKER,Asian,Male,Veteran,22.9,31408.0
Parks & Recreation,RECREATION FACILITY MANAGER,Hispanic,Male,Veteran,23.1,46580.0
Public Works & Engineering-PWE,WATER SERVICE INSPECTOR II,Black,Female,Veteran,26.6,40581.0
Houston Police Department-HPD,ADMINISTRATIVE ASSISTANT,White,Female,Experienced,9.0,45552.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Novice,1.9,47650.0
Houston Police Department-HPD,POLICE OFFICER,White,Female,Experienced,5.7,50621.0
Parks & Recreation,RECREATION ASSISTANT,Asian,Male,Novice,0.5,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,34.0,
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Novice,2.4,43528.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,13.0,55437.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,31.2,81239.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Veteran,19.3,60347.0
Health & Human Services,CUSTOMER SERVICE REPRESENTATIVE III,Hispanic,Female,Novice,1.8,37835.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,2.2,30139.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,23.1,81239.0
Public Works & Engineering-PWE,GENERAL SUPERINTENDENT,Asian,Male,Veteran,35.5,50960.0
Health & Human Services,SENIOR CUSTOMER SERVICE CLERK,Hispanic,Female,Novice,2.1,34008.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,13.5,55437.0
Houston Police Department-HPD,POLICE SERVICE OFFICER,Hispanic,Female,Novice,3.6,27914.0
Health & Human Services,SENIOR CUSTOMER SERVICE CLERK,Hispanic,Female,Veteran,24.4,32198.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,22.1,81239.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Black,Male,Novice,0.9,40170.0
Houston Police Department-HPD,DEPUTY DIRECTOR-FINANCE & ADMINISTRATION,White,Male,Experienced,9.8,199596.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST III,White,Male,Experienced,13.2,57304.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,35.6,66614.0
Parks & Recreation,SEMI-SKILLED LABORER,Hispanic,Male,Novice,1.5,26125.0
Parks & Recreation,PARK MAINTENANCE AIDE,,Male,Novice,0.7,
Houston Police Department-HPD,ACCOUNT CLERK,Asian,Female,Veteran,35.3,35880.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Veteran,15.9,31762.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",Hispanic,Male,Novice,1.1,42000.0
Public Works & Engineering-PWE,SEMI-SKILLED LABORER,Black,Male,Novice,2.4,27373.0
Parks & Recreation,EQUIPMENT WORKER,Black,Female,Veteran,17.1,31075.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,22.8,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Novice,2.7,43528.0
Health & Human Services,CUSTOMER SERVICE REPRESENTATIVE II,Black,Female,Novice,1.4,34320.0
Parks & Recreation,FIELD SUPERVISOR,Black,Male,Veteran,23.7,36920.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Veteran,34.4,78355.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,16.0,66523.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,14.4,41288.0
Houston Fire Department (HFD),INSPECTOR,Black,Male,Veteran,20.0,70181.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Experienced,8.0,74511.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,2.1,45791.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,2.5,28995.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,White,Male,Veteran,28.8,63336.0
Houston Airport System (HAS),DIVISION MANAGER,White,Female,Experienced,11.1,100873.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,22.6,66614.0
Houston Police Department-HPD,POLICE SERGEANT,Asian,Male,Veteran,23.4,81239.0
Houston Police Department-HPD,POLICE LIEUTENANT,Hispanic,Male,Veteran,24.3,91181.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,25.1,
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,10.9,60347.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,White,Male,Novice,1.4,31429.0
Houston Fire Department (HFD),DISTRICT CHIEF,White,Male,Veteran,23.7,89590.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Veteran,26.1,78355.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,8.7,55461.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Veteran,20.6,61226.0
Houston Fire Department (HFD),DEPUTY CHIEF,White,Male,Veteran,36.6,99480.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,23.8,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Female,Veteran,20.3,66614.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Veteran,22.8,36837.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Veteran,34.0,61226.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,32.9,
Health & Human Services,ADMINISTRATION MANAGER,Black,Female,Veteran,29.4,83174.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Veteran,22.1,61226.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Novice,3.9,48190.0
Parks & Recreation,COMMUNITY RELATIONS SPECIALIST,,Female,Novice,0.5,
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Novice,2.4,43528.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Veteran,23.6,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,7.7,55461.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,9.0,51194.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",White,Male,Novice,1.6,40170.0
Health & Human Services,ADMINISTRATIVE COORDINATOR,Hispanic,Female,Experienced,7.1,65589.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,1.8,43443.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,35.2,66614.0
Public Works & Engineering-PWE,STUDENT INTERN II,Black,Female,Novice,1.6,
Houston Police Department-HPD,EVIDENCE TECHNICIAN,Hispanic,Female,Novice,1.1,33322.0
Houston Police Department-HPD,DWI TECHNICIAN,Hispanic,Female,Veteran,21.7,47008.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,33.8,
Houston Fire Department (HFD),INSPECTOR,Black,Male,Veteran,22.1,70181.0
Houston Police Department-HPD,SENIOR POLICE SERVICE OFFICER,Black,Female,Veteran,27.7,32490.0
Parks & Recreation,RECREATION SUPERVISOR,White,Male,Novice,4.5,37565.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Male,Veteran,16.1,86534.0
Health & Human Services,ADMINISTRATION MANAGER,Black,Female,Experienced,14.2,82915.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,26.9,66614.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,7.3,51194.0
Parks & Recreation,LIFEGUARD,Hispanic,Male,Novice,0.5,
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Experienced,14.8,61643.0
Public Works & Engineering-PWE,UTILITY WORKER,Hispanic,Male,Veteran,21.5,40518.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Hispanic,Male,Novice,1.1,40170.0
Public Works & Engineering-PWE,ENVIRONMENTAL INVESTIGATOR V,Asian,Male,Veteran,28.7,79953.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,33.4,66614.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Experienced,8.0,46238.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,26.0,70181.0
Health & Human Services,SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Black,Female,Veteran,24.9,46384.0
Public Works & Engineering-PWE,UTILITY MECHANIC,Black,Male,Novice,3.9,30597.0
Houston Airport System (HAS),DEPUTY DIRECTOR-AVIATION (EX LVL),Black,Male,Novice,3.3,186192.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,22.1,66614.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",Asian,Male,Novice,1.5,28169.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.4,43528.0
Houston Police Department-HPD,DWI TECHNICIAN,Hispanic,Female,Novice,3.9,43035.0
Public Works & Engineering-PWE,SENIOR PLANT OPERATOR,White,Male,Veteran,23.4,46550.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,14.4,55437.0
Houston Fire Department (HFD),INVESTIGATOR,White,Male,Veteran,37.0,70181.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,25.1,66614.0
Houston Police Department-HPD,POLICE SERGEANT,Native American,Male,Veteran,25.1,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,3.4,45791.0
Public Works & Engineering-PWE,STAFF ANALYST,White,Female,Experienced,7.7,70565.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,26.3,81239.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,32.1,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,9.4,55461.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,16.3,62540.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,32.4,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,18.3,66614.0
Houston Police Department-HPD,OFFICE SUPERVISOR,Asian,Male,Veteran,16.8,50378.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,21.8,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,13.2,55437.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,10.2,61921.0
Public Works & Engineering-PWE,UTILITY WORKER,Hispanic,Male,Novice,2.8,30139.0
Public Works & Engineering-PWE,ASSISTANT PUBLIC WORKS MAINTENANCE MANAG,Black,Male,Novice,0.8,66310.0
Houston Police Department-HPD,PROGRAMMER ANALYST IV,White,Male,Veteran,19.4,69661.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,26.0,66614.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,36.3,
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,36.3,70181.0
Health & Human Services,SENIOR CUSTOMER SERVICE CLERK,Black,Female,Experienced,9.3,31782.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,17.8,66614.0
Public Works & Engineering-PWE,PUBLIC WORKS OPERATIONS MANAGER,White,Male,Veteran,25.3,86288.0
Public Works & Engineering-PWE,ENGINEER,Asian,Male,Veteran,23.2,87236.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,30.7,63166.0
Houston Airport System (HAS),GROUND TRANSPORTATION REPRESENTATIVE,Hispanic,Female,Veteran,25.2,29640.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Novice,4.1,47650.0
Public Works & Engineering-PWE,DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,White,Male,Experienced,6.7,105354.0
Houston Airport System (HAS),AIRPORT OPERATIONS SPECIALIST,Black,Male,Veteran,32.5,47237.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,23.3,66614.0
Houston Police Department-HPD,SENIOR IMAGING TECHNICIAN,Black,Female,Veteran,37.6,34528.0
Parks & Recreation,RECREATION FACILITY MANAGER,Black,Male,Veteran,18.3,50028.0
Houston Airport System (HAS),AIRPORT OPERATIONS SPECIALIST,Black,Male,Experienced,12.2,48568.0
Houston Police Department-HPD,POLICE CAPTAIN,White,Male,Veteran,39.0,
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,22.8,81239.0
Houston Police Department-HPD,DATA ENTRY OPERATOR,Black,Female,Veteran,23.0,26125.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,4.5,34320.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,8.6,55461.0
Houston Airport System (HAS),SUPERINTENDENT,Black,Male,Novice,2.9,62650.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Novice,2.2,32968.0
Public Works & Engineering-PWE,SYSTEMS SUPPORT ANALYST I,Asian,Male,Experienced,12.5,44096.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Experienced,9.0,54600.0
Public Works & Engineering-PWE,CUSTOMER SERVICE SUPERVISOR,Hispanic,Female,Experienced,13.2,45178.0
Health & Human Services,SENIOR PUBLIC HEALTH INVESTIGATOR,Hispanic,Female,Veteran,25.7,40976.0
Health & Human Services,FINANCIAL ANALYST IV,Black,Female,Veteran,18.2,70762.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,7.3,51194.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,2.2,43528.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,39.1,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,25.6,66614.0
Houston Police Department-HPD,POLICE OFFICER,Black,Female,Experienced,9.4,55461.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,24.1,66614.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Experienced,12.8,36213.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,17.3,77076.0
Public Works & Engineering-PWE,SYSTEMS SUPPORT ANALYST IV,Black,Male,Experienced,11.6,71170.0
Health & Human Services,SANITARIAN III,Asian,Male,Veteran,17.7,52624.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,White,Male,Veteran,22.3,37211.0
Houston Police Department-HPD,ADMINISTRATIVE ASSOCIATE,Black,Female,Veteran,16.8,37336.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,23.3,66614.0
Houston Police Department-HPD,OFFICE SERVICE MANAGER,Black,Male,Experienced,11.1,60653.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Female,Veteran,22.3,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Novice,2.4,43528.0
Health & Human Services,ADMINISTRATIVE ASSISTANT,Black,Female,Novice,2.4,40144.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",White,Male,Novice,1.4,42000.0
Houston Fire Department (HFD),COMMUNICATIONS CAPTAIN,Hispanic,Male,Veteran,19.1,70181.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,16.8,61643.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,33.3,
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,3.8,47650.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Veteran,27.1,66614.0
Public Works & Engineering-PWE,ADMINISTRATIVE COORDINATOR,Hispanic,Female,Veteran,24.4,66449.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Experienced,14.3,74270.0
Houston Police Department-HPD,POLICE OFFICER,Asian,Male,Novice,3.1,45279.0
Houston Airport System (HAS),LABORER,Black,Male,Novice,1.6,27082.0
Health & Human Services,MANAGEMENT ANALYST II,White,Male,Novice,1.4,47632.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,1.3,43528.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Female,Veteran,26.6,91181.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,8.9,42640.0
Public Works & Engineering-PWE,MANAGEMENT ANALYST IV,Hispanic,Female,Experienced,11.6,62426.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,20.1,66614.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,26.5,81239.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST I,Black,Male,Experienced,11.8,44429.0
Houston Police Department-HPD,POLICE OFFICER,Asian,Male,Experienced,6.7,52514.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,31.7,66614.0
Public Works & Engineering-PWE,HUMAN RESOURCES MANAGER,Black,Female,Veteran,36.7,86763.0
Public Works & Engineering-PWE,INSPECTOR,Asian,Male,Experienced,7.5,47382.0
Houston Police Department-HPD,CUSTOMER SERVICE CLERK,Black,Female,Veteran,27.4,31907.0
Health & Human Services,COMMUNITY LIAISON,Black,Female,Veteran,24.5,48027.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,13.0,62540.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,10.9,60347.0
Public Works & Engineering-PWE,PLANT OPERATOR SUPERVISOR,Black,Male,Veteran,21.2,54995.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,26.0,70181.0
Houston Police Department-HPD,SENIOR POLICE SERVICE OFFICER,White,Male,Experienced,11.2,30888.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,7.4,60347.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Black,Male,Veteran,20.5,63166.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Novice,3.1,66614.0
Health & Human Services,JAIL MEDICAL SPECIALIST,Hispanic,Male,Novice,3.7,46363.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,24.8,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,9.9,52644.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,25.3,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,31.4,66614.0
Public Works & Engineering-PWE,PUBLIC WORKS MAINTENANCE SECTION CHIEF,Hispanic,Male,Experienced,7.8,57470.0
Parks & Recreation,SUPERINTENDENT,Black,Male,Veteran,16.3,56014.0
Public Works & Engineering-PWE,ADMINISTRATION MANAGER,Black,Female,Veteran,28.0,77899.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Experienced,11.8,77076.0
Houston Police Department-HPD,DATA ENTRY OPERATOR,Hispanic,Female,Novice,1.6,26125.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Black,Male,Experienced,14.1,62540.0
Houston Police Department-HPD,WORD PROCESSOR,Black,Female,Veteran,25.7,31845.0
Public Works & Engineering-PWE,TECHNICAL HARDWARE ANALYST I,Black,Male,Novice,3.6,39666.0
Health & Human Services,SANITARIAN I,Black,Male,Novice,4.8,38709.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,38.7,66614.0
Houston Police Department-HPD,POLICE TRAINEE,,Female,Novice,0.8,42000.0
Houston Airport System (HAS),SPECIAL SERVICE REPRESENTATIVE,White,Female,Experienced,10.8,35256.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,32.1,81239.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,White,Male,Novice,3.7,34632.0
Public Works & Engineering-PWE,SENIOR UTILITY MECHANIC,Black,Male,Experienced,10.5,37128.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,21.8,66614.0
Health & Human Services,ADMINISTRATIVE COORDINATOR,Black,Male,Novice,2.2,53832.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,7.7,55461.0
Houston Police Department-HPD,SENIOR POLICE SERVICE OFFICER,Black,Female,Veteran,23.4,30888.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,20.0,63166.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,24.4,66614.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,35.4,63166.0
Houston Airport System (HAS),AIRPORT OPERATIONS COORDINATOR,White,Male,Experienced,10.5,51501.0
Houston Airport System (HAS),MAINTENANCE MECHANIC I,Hispanic,Male,Veteran,26.5,31158.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,18.9,61226.0
Health & Human Services,LICENSED VOCATIONAL NURSE,Black,Female,Veteran,18.6,
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Experienced,15.0,61643.0
Public Works & Engineering-PWE,INFRASTRUCTURE ASSESSMENT TECHNICIAN II,Hispanic,Male,Veteran,23.7,41683.0
Parks & Recreation,EQUIPMENT WORKER,Black,Male,Experienced,7.7,30347.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Veteran,25.3,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,27.0,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,10.9,55453.0
Houston Police Department-HPD,POLICE SERGEANT,White,Female,Veteran,31.4,
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Veteran,32.9,78355.0
Health & Human Services,ASSISTANT DIRECTOR (EXECUTIVE LEVEL),White,Male,Experienced,8.7,120799.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,1.8,43443.0
Parks & Recreation,RECREATION SPECIALIST,Black,Male,Novice,1.8,28766.0
Houston Fire Department (HFD),DISTRICT CHIEF,White,Male,Veteran,22.1,89590.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Female,Veteran,21.5,66614.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Veteran,16.0,74270.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Veteran,15.1,57815.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,19.3,66614.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,10.4,55461.0
Public Works & Engineering-PWE,PARTY CHIEF,Hispanic,Male,Experienced,10.8,53435.0
Health & Human Services,COMMUNITY LIAISON,Native American,Female,Experienced,13.1,49379.0
Public Works & Engineering-PWE,ELECTRICIAN,Hispanic,Male,Veteran,23.6,48776.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Male,Veteran,18.8,91181.0
Houston Fire Department (HFD),DISTRICT CHIEF,Hispanic,Male,Veteran,20.0,89590.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,23.9,70181.0
Public Works & Engineering-PWE,ENGINEER,White,Male,Experienced,8.4,78076.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,31.1,70181.0
Houston Fire Department (HFD),ASSISTANT ARSON INVESTIGATOR,Hispanic,Male,Veteran,22.6,89590.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,23.1,81239.0
Public Works & Engineering-PWE,INVENTORY MANAGEMENT SUPERVISOR,Black,Male,Veteran,22.8,40186.0
Public Works & Engineering-PWE,GRADUATE ENGINEER,Hispanic,Male,Experienced,11.1,69493.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,4.1,47650.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,13.1,62540.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Veteran,37.3,
Parks & Recreation,CUSTODIAN,Black,Female,Novice,2.4,26125.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,10.2,61921.0
Houston Police Department-HPD,JAIL ATTENDANT,Black,Female,Experienced,8.2,35318.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Hispanic,Male,Experienced,12.3,45989.0
Public Works & Engineering-PWE,ADMINISTRATION MANAGER,Hispanic,Male,Veteran,23.3,70115.0
Houston Police Department-HPD,STAFF ANALYST,White,Female,Experienced,7.3,74961.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,Hispanic,Male,Veteran,23.4,65853.0
Public Works & Engineering-PWE,ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,White,Female,Veteran,18.4,146141.0
Houston Police Department-HPD,POLICE TRAINEE,,Female,Novice,0.8,42000.0
Houston Police Department-HPD,POLICE OFFICER,White,Female,Experienced,9.4,55461.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,8.8,55461.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Novice,3.5,45279.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.2,43528.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,9.3,55461.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,27.5,63166.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Experienced,12.7,66614.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Black,Male,Novice,0.9,40170.0
Houston Airport System (HAS),STAFF ANALYST,Black,Female,Experienced,11.0,80791.0
Public Works & Engineering-PWE,PROJECT TECHNICIAN IV,White,Male,Novice,2.6,50586.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,20.5,66614.0
Health & Human Services,SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Black,Female,Experienced,10.2,43909.0
Houston Police Department-HPD,POLICE OFFICER,Asian,Male,Novice,1.8,43443.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Hispanic,Male,Novice,1.4,40170.0
Houston Police Department-HPD,CUSTOMER SERVICE CLERK,Black,Female,Experienced,14.1,27872.0
Houston Airport System (HAS),PROJECT MANAGER,Hispanic,Female,Experienced,7.4,67671.0
Parks & Recreation,HEAD LIFEGUARD,Black,Female,Novice,0.5,
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE III,Hispanic,Female,Veteran,37.3,45490.0
Public Works & Engineering-PWE,SUPERVISING ENGINEER,Asian,Male,Experienced,8.1,102297.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,23.1,66614.0
Houston Airport System (HAS),AIRPORT OPERATIONS ASSISTANT,Black,Male,Experienced,12.2,37669.0
Houston Police Department-HPD,POLICE SERGEANT,White,Female,Veteran,29.4,
Houston Police Department-HPD,POLICE OFFICER,White,Female,Novice,3.8,47650.0
Houston Airport System (HAS),AIRPORT SECURITY INVESTIGATOR,White,Male,Experienced,12.2,61589.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,14.5,55437.0
Houston Fire Department (HFD),FIRE FIGHTER TRAINEE,White,Male,Novice,1.1,28024.0
Houston Airport System (HAS),SUPERVISING ENGINEER,White,Male,Novice,2.8,103686.0
